"depth (m) ","u (m/s)   ","v (m/s)   ","T (°C)   ","S (g/kg)  ","k (J/kg)  ","eps (W/kg)","num (m2/s)","nuh (m2/s)"
-2.141999999999999E+00,2.506404900662240E-01,-2.254376915594619E-01,1.444023556115765E+01,2.999999999999863E-06,2.399588432533040E-04,1.892579472797937E-06,2.735930447251105E-03,3.423010246058389E-03
-2.268000000000000E+00,2.477762377813040E-01,-2.240517668708515E-01,1.443951824696899E+01,2.999999999999863E-06,2.457711846929722E-04,1.933357928834678E-06,2.813043689127353E-03,3.519780149458267E-03
-2.394000000000000E+00,2.449119854963840E-01,-2.226658421822412E-01,1.443880093278033E+01,2.999999999999863E-06,2.514166121008680E-04,1.962698181565618E-06,2.905986485772833E-03,3.636546497711038E-03
-2.520000000000000E+00,2.421345799022827E-01,-2.212037485979366E-01,1.443815353438389E+01,2.999999999999863E-06,2.570620395087638E-04,1.992038434296558E-06,2.998929282418314E-03,3.753312845963809E-03
-2.646000000000000E+00,2.393571743081813E-01,-2.197416550136320E-01,1.443750613598745E+01,2.999999999999863E-06,2.626779632971686E-04,2.032538865895790E-06,3.076557630262719E-03,3.851028472329553E-03
-2.772000000000000E+00,2.366367883896492E-01,-2.181975455247199E-01,1.443691911680966E+01,2.999999999999863E-06,2.682938870855733E-04,2.073039297495022E-06,3.154185978107125E-03,3.948744098695297E-03
-2.898000000000000E+00,2.339164024711170E-01,-2.166534360358078E-01,1.443633209763187E+01,2.999999999999863E-06,2.739893443869716E-04,2.121830355579893E-06,3.221841540726225E-03,4.034019080911881E-03
-3.024000000000000E+00,2.312208150225633E-01,-2.150159467268564E-01,1.443579695633002E+01,2.999999999999862E-06,2.796848016883699E-04,2.170621413664764E-06,3.289497103345326E-03,4.119294063128465E-03
-3.150000000000000E+00,2.285252275740097E-01,-2.133784574179049E-01,1.443526181502817E+01,2.999999999999862E-06,2.853648126173755E-04,2.218630493716905E-06,3.357918449356994E-03,4.205522173343901E-03
-3.276000000000000E+00,2.258415256895668E-01,-2.116450276043878E-01,1.443477502616196E+01,2.999999999999862E-06,2.910448235463810E-04,2.266639573769047E-06,3.426339795368662E-03,4.291750283559339E-03
-3.402000000000000E+00,2.231578238051239E-01,-2.099115977908707E-01,1.443428823729575E+01,2.999999999999862E-06,2.967108532761151E-04,2.320440716074575E-06,3.487546604888811E-03,4.369055205969211E-03
-3.528000000000000E+00,2.205131507679645E-01,-2.081048391343449E-01,1.443385379817010E+01,2.999999999999862E-06,3.023768830058492E-04,2.374241858380104E-06,3.548753414408959E-03,4.446360128379082E-03
-3.654000000000000E+00,2.178684777308051E-01,-2.062980804778191E-01,1.443341935904444E+01,2.999999999999862E-06,3.082807170793218E-04,2.450559175022404E-06,3.584089597705922E-03,4.491307540539926E-03
-3.780000000000000E+00,2.152222503591854E-01,-2.043939642050874E-01,1.443303020805849E+01,2.999999999999861E-06,3.141845511527944E-04,2.526876491664703E-06,3.619425781002885E-03,4.536254952700770E-03
-3.906000000000000E+00,2.125760229875658E-01,-2.024898479323557E-01,1.443264105707253E+01,2.999999999999861E-06,3.206519527153617E-04,2.632381238144913E-06,3.630252253242321E-03,4.550494290870778E-03
-4.032000000000000E+00,2.098861767888662E-01,-2.004589308236729E-01,1.443229194170256E+01,2.999999999999861E-06,3.271193542779291E-04,2.737885984625124E-06,3.641078725481758E-03,4.564733629040785E-03
-4.157999999999999E+00,2.071963305901667E-01,-1.984280137149900E-01,1.443194282633258E+01,2.999999999999860E-06,3.345469710195388E-04,2.883844793658510E-06,3.628178280379542E-03,4.549200266140441E-03
-4.284000000000000E+00,2.044200062817282E-01,-1.962361576072899E-01,1.443163043809674E+01,2.999999999999860E-06,3.419745877611486E-04,3.029803602691895E-06,3.615277835277326E-03,4.533666903240096E-03
