"depth (m) ","u (m/s)   ","v (m/s)   ","T (°C)   ","S (g/kg)  ","k (J/kg)  ","eps (W/kg)","num (m2/s)","nuh (m2/s)"
-1.764000000000000E+00,6.485704854501848E-02,-5.076705773704419E-02,2.552607141945053E+00,2.999999999999786E-06,2.080592658843945E-05,5.065780948194500E-08,8.205762905134948E-04,1.028957672331370E-03
-1.890000000000000E+00,6.380567970584551E-02,-5.051292987068255E-02,2.552626333017580E+00,2.999999999999786E-06,2.019592618368150E-05,4.832739199079784E-08,8.125931534712525E-04,1.019052417224148E-03
-2.016000000000000E+00,6.277760723033493E-02,-5.022508075675299E-02,2.552614605803843E+00,2.999999999999786E-06,1.958592577892355E-05,4.599697449965066E-08,8.046100164290102E-04,1.009147162116926E-03
-2.141999999999999E+00,6.174953475482436E-02,-4.993723164282342E-02,2.552602878590105E+00,2.999999999999787E-06,1.909728057261625E-05,4.399001793188179E-08,8.019864232395315E-04,1.005968145612080E-03
-2.268000000000000E+00,6.074935707343473E-02,-4.961907659514947E-02,2.552564009706768E+00,2.999999999999787E-06,1.860863536630895E-05,4.198306136411290E-08,7.993628300500529E-04,1.002789129107235E-03
-2.394000000000000E+00,5.974917939204511E-02,-4.930092154747553E-02,2.552525140823432E+00,2.999999999999786E-06,1.814878795218117E-05,4.001814109122453E-08,7.996803419533222E-04,1.003289020079731E-03
-2.520000000000000E+00,5.881630158117219E-02,-4.896867511617500E-02,2.552465942033546E+00,2.999999999999786E-06,1.768894053805339E-05,3.805322081833616E-08,7.999978538565915E-04,1.003788911052227E-03
-2.646000000000000E+00,5.788342377029927E-02,-4.863642868487448E-02,2.552406743243660E+00,2.999999999999786E-06,1.729340221573772E-05,3.653336013088288E-08,7.980164761324318E-04,1.001382956378443E-03
-2.772000000000000E+00,5.700689662957344E-02,-4.829021798644038E-02,2.552332030484794E+00,2.999999999999787E-06,1.689786389342206E-05,3.501349944342959E-08,7.960350984082720E-04,9.989770017046593E-04
-2.898000000000000E+00,5.613036948884761E-02,-4.794400728800630E-02,2.552257317725927E+00,2.999999999999787E-06,1.658578076661978E-05,3.388249758807251E-08,7.937341209757419E-04,9.961529302308966E-04
-3.024000000000000E+00,5.529702974957398E-02,-4.758173273960151E-02,2.552170958881431E+00,2.999999999999787E-06,1.627369763981751E-05,3.275149573271543E-08,7.914331435432118E-04,9.933288587571337E-04
-3.150000000000000E+00,5.446369001030035E-02,-4.721945819119673E-02,2.552084600036936E+00,2.999999999999787E-06,1.604638943770026E-05,3.186497978368337E-08,7.918968230891199E-04,9.939676562060996E-04
-3.276000000000000E+00,5.366628393016735E-02,-4.684039247206770E-02,2.551990524471959E+00,2.999999999999787E-06,1.581908123558301E-05,3.097846383465131E-08,7.923605026350281E-04,9.946064536550654E-04
