site_id,datetime,depth,variable,observation
ALEX,2020-02-13T00:00:00Z,0.5,temperature,22.3
ALEX,2020-02-14T00:00:00Z,NA,depth,5.874416666666667
ALEX,2020-02-14T00:00:00Z,0.5,salt,0.4726497437836973
ALEX,2020-02-14T00:00:00Z,0.5,temperature,22.875
ALEX,2020-02-15T00:00:00Z,NA,depth,5.857333333333333
ALEX,2020-02-15T00:00:00Z,0.5,salt,0.4447284765158395
ALEX,2020-02-15T00:00:00Z,0.5,temperature,22.508333333333333
ALEX,2020-02-16T00:00:00Z,NA,depth,5.877666666666666
ALEX,2020-02-16T00:00:00Z,0.5,salt,0.4782057980179058
ALEX,2020-02-16T00:00:00Z,0.5,temperature,21.641666666666666
ALEX,2020-02-17T00:00:00Z,NA,depth,5.8765833333333335
ALEX,2020-02-17T00:00:00Z,0.5,salt,0.4978776641019272
ALEX,2020-02-17T00:00:00Z,0.5,temperature,21.5
ALEX,2020-02-18T00:00:00Z,NA,depth,5.87425
ALEX,2020-02-18T00:00:00Z,0.5,salt,0.47323865318533803
ALEX,2020-02-18T00:00:00Z,0.5,temperature,22.425
ALEX,2020-02-19T00:00:00Z,NA,depth,5.84725
ALEX,2020-02-19T00:00:00Z,0.5,salt,0.4912379395819029
ALEX,2020-02-19T00:00:00Z,0.5,temperature,21.1
ALEX,2020-02-20T00:00:00Z,NA,depth,5.872083333333333
ALEX,2020-02-20T00:00:00Z,0.5,salt,0.4950919621787419
ALEX,2020-02-20T00:00:00Z,0.5,temperature,20.2
ALEX,2020-02-21T00:00:00Z,NA,depth,5.8709999999999996
ALEX,2020-02-21T00:00:00Z,0.5,salt,0.5249565263055993
ALEX,2020-02-21T00:00:00Z,0.5,temperature,19.575000000000003
ALEX,2020-02-22T00:00:00Z,NA,depth,5.873166666666666
ALEX,2020-02-22T00:00:00Z,0.5,salt,0.5137732888934214
ALEX,2020-02-22T00:00:00Z,0.5,temperature,19.424999999999997
ALEX,2020-02-23T00:00:00Z,NA,depth,5.869833333333333
ALEX,2020-02-23T00:00:00Z,0.5,salt,0.5113395208383253
ALEX,2020-02-23T00:00:00Z,0.5,temperature,19.9
ALEX,2020-02-24T00:00:00Z,NA,depth,5.8719166666666665
ALEX,2020-02-24T00:00:00Z,0.5,salt,0.4958493071669278
ALEX,2020-02-24T00:00:00Z,0.5,temperature,20.216666666666665
ALEX,2020-02-25T00:00:00Z,NA,depth,5.858583333333333
ALEX,2020-02-25T00:00:00Z,0.5,salt,0.5026323194354827
