"Depth [m]","U [m/s]","V [m/s]","T [deg C]","k [J/kg]","eps [W/kg]"
-23.1,0,0,7.508,3e-06,5e-10
-23.22,0,0,7.636,3e-06,5e-10
-23.34,0,0,7.764,3e-06,5e-10
-23.46,0,0,7.892,3e-06,5e-10
-23.59,0,0,7.886,3e-06,5e-10
-23.71,0,0,7.825,3e-06,5e-10
-23.83,0,0,7.763,3e-06,5e-10
-23.95,0,0,7.702,3e-06,5e-10
-24.07,0,0,7.706,3e-06,5e-10
-24.19,0,0,7.758,3e-06,5e-10
-24.31,0,0,7.81,3e-06,5e-10
-24.43,0,0,7.863,3e-06,5e-10
-24.55,0,0,7.913,3e-06,5e-10
-24.67,0,0,7.962,3e-06,5e-10
-24.8,0,0,8.01,3e-06,5e-10
-24.92,0,0,8.059,3e-06,5e-10
-25.04,0,0,8.093,3e-06,5e-10
-25.16,0,0,8.093,3e-06,5e-10
-25.28,0,0,8.093,3e-06,5e-10
-25.4,0,0,8.093,3e-06,5e-10
